author,first_year,n_papers,affiliations_seen
Carlos Castro,1993,41,"['Physics Dept, University of Texas, Austin', 'I.A.E.C 1407 Alegria, Austin, Texas USA', 'I.A.E.C 1407 Alegria Austin, Texas USA', 'University of Texas at Austin', 'University of Texas,World Laboratory, Lausanne, Switzerland']"
Carlos Contreras,1996,1,[]
Carlos E. Laciana,1995,5,[]
Carlos F. Sopuerta,2001,5,"['Institute of Cosmology,Gravitation, Portsmouth U.', 'RCG, Portsmouth U.']"
Carlos Farina,1994,2,[]
Carlos Gorrichategui,2002,1,[]
Carlos Herdeiro,1999,3,[]
Carlos Leiva,2002,3,[]
Carlos Lozano,1997,8,[]
Carlos M. Naon,1997,5,[]
Carlos Munoz,1997,1,[]
Carlos Naon,1997,5,[]
Carlos Nunez,1996,12,['Harvard U.']
Carlos Nu~Nez,1993,4,[]
Carlos Pinheiro,1996,10,"['Dep. Fisica-UFES', 'UFES, Brazil']"
Carlos Pinheiro ; F. C. Khanna,2000,2,"['UFES, Brazil']"
Carlos R. Ordonez,2000,7,[]
Carlos Tello,2003,1,[]
Carlos Tello Echevarria,1999,1,"['IFT/UNESP, Sao Paulo']"
Carmen Molina--Paris,1996,1,['Los Alamos']
Carmen Molina-Paris,1995,6,"['University of Texas at Austin', 'Los Alamos']"
Carmen Nunez,1994,7,[]
Carmen Nu~Nez,1997,3,[]
Carmen Nu~Nez.,1995,1,[]
Caroline Santos,2000,2,[]
Carsten Greiner,1996,1,[]
Carsten Patzold,1996,2,['Dortmund University']
Carsten Van De Bruck,2001,2,['Oxford']
Cecile Martin,1995,3,[]
Cecilia Albertsson,2001,4,[]
Cecilia B. M. H. Chirenti,2003,1,[]
Cecilia Clementi,1997,1,['1']
Cedric Deffayet,1999,7,"['NYU', 'New York University', 'LPTHE, Orsay']"
Cedric Leygnac,2002,1,[]
Cedric R. Leao,2001,1,[]
Celeghini,1993,1,[]
Celine Laroche,1998,3,[]
Celso C. Nishi,2001,1,['IFGW-UniCamp']
Cemsinan Deliduman,1997,4,[]
Cenalo Vaz,1993,7,[]
Cesar D. Fosco,2000,2,['Bariloche']
Cesar Gomez,1992,27,"['Instituto de Matematicas y Fisica Fundamental, CSIC', 'IMAFF, CSIC']"
Cesar Mora,1996,1,['CNVESTAV-IPN']
Cesar P. Natividade,2000,1,"[""UFF,UNESP/Campus de Guaratinguet\\'a-DFQ""]"
Cesare Reina,1999,1,[]
Cesare Reina ),1993,1,['SISSA - Strada Costiera 11 -TRIESTE (Italy']
Cezary Gonera,1998,3,[]
Ch. Brouder,1999,1,[]
Ch. Devchand,1992,11,[]
Ch. Kopper,1999,1,['Ecole Polytechnique']
Ch. Mathys,2001,1,[]
Chad Middleton,2002,1,[]
Chae Young Oh,2002,1,[]
Chaiho Rim,1993,23,"['Chonbuk', 'Chonbuk N. U.']"
Chan Hong-Mo,1993,5,[]
Chandrashekar Devchand,1997,9,[]
Chang S. Chan,2000,3,[]
Chang Soo Park,1996,3,[]
Chang-Guang Shi,2001,1,"['Department of Physics, Toyama University']"
Chang-Ho Kim,1994,3,[]
Chang-Pu Sun,1992,9,"['ITP, Northeast Normal University, China', 'Institute of Theoretical Physics, Northeast Normal University, Changchun 130024,\\hspace{1cm} P.R.China']"
Chang-Yeong Lee,1995,18,['Sejong Univ.']
Chang_Pu Sun,1993,1,[]
Changhai Lu,1996,4,[]
Changhui Li,2001,1,[]
Changhyun Ahn,1992,43,[]
Changrim Ahn,1992,21,"['Ewha', ""Ewha Women's Univ., Korea"", 'Ewha W. U.']"
Changzheng Qu,1997,1,[]
Chanju Kim,1992,28,"['SNU', 'Seoul National University', 'Ewha W.U.']"
Chanyong Park,1997,7,[]
Chao-Shang Huang,2001,1,[]
Chaouki Boulahouache,1998,1,[]
Charanjit S. Aulakh,1995,1,[]
Charilaos Aneziris,1994,1,[]
Charles A. Nelson,1998,3,[]
Charles B. Thorn,1994,23,[]
Charles D. Lane,2001,1,[]
Charles F. Doran,2001,3,[]
Charles Lane,2001,1,[]
Charles M. Sommerfield,1995,2,[]
Charles Nash,1992,5,[]
Charles P. Boyer,1998,1,[]
Charles Schwartz,1999,1,[]
Charlotte F. Kristjansen,1993,1,[]
Chen Ying,1999,1,[]
Chen-Gang Zhou,2000,1,[]
Chengang Zhou,2001,1,[]
Chengqian Gong,1994,1,[]
Cheol Ryou,2001,4,[]
Chethan N. Gowdigere,2002,1,[]
Chi-Keung Chow,2000,1,[]
Chi-Yong Lin,1998,4,[]
Chiang-Mei Chen,1998,22,[]
Chiara Nappi,1992,1,[]
Chiara Pagani,2001,1,[]
Chiara R. Nappi,1992,8,[]
Chie Ohzeki,1996,1,[]
Chien-Hao Liu,1995,7,"['UT-Austin', 'University of Miami', 'U.T. Austin']"
Chien-Wen Hwang,1999,1,[]
Chigak Itoi,1993,11,"['Nihon Univ, Tokyo', 'Nihon U']"
Chih-Lung Chou,1996,2,"['Stanford University,SLAC']"
Chihong Chou,1993,3,[]
Chilong Lin,1996,1,['National Cheng Kung University']
Chin-Rong Lee,1992,2,"['National Chung Cheng Univ.,Taiwan']"
Chong Oh Lee,2003,1,[]
Chong-Sun Chu,1994,34,['Neuchatel University']
Chongying Dong,1994,3,[]
Choon-Lin Ho,1992,11,"['Dept. of Physics, Tamkang University, Taiwan']"
Choonkyu Lee,1992,19,['SNU']
Chopin Soo,1992,9,[]
Chris Austin,2001,3,[]
Chris Barnes,1997,2,[]
Chris Beasley,1999,3,[]
Chris E. Beasley,2002,1,[]
Chris Ford,1994,3,[]
Chris Harvey-Fros,1997,2,[]
Chris Hull,1997,3,[]
Chris Koehl,1999,1,[]
Chris M. Hull,1999,2,[]
Chris Radford,1995,2,"['University of New England, Australia']"
Chris Van Den Broeck,1998,2,[]
Christel Kamp,2000,1,"['University of M\\""unster']"
Christiaan Hofman,1997,8,[]
Christian Beck,2001,2,[]
Christian Blohmann,2001,1,[]
Christian Brouder,1999,6,[]
Christian Ekstrand,2000,1,[]
Christian Fronsdal,1998,5,"['University of California, Los Angeles', 'UCLA']"
Christian Grosche,1993,11,[]
Christian Hilmoine,2000,1,[]
Christian Jaekel,1998,7,[]
Christian Korff,2000,3,[]
Christian Mercat,2001,4,[]
Christian Munkel,1993,1,[]
Christian Preitschopf,1992,4,['Humboldt Univ. Berlin']
Christian R. Preitschopf,1993,4,[]
Christian Romelsberger,1999,9,[]
Christian Rupp,1998,7,[]
Christian Schubert,1995,20,"['Humboldt University Berlin', 'LAPTH Annecy-le-Vieux', 'Argonne National Laboratory']"
Christian Stern,1997,1,['2']
Christian Surlykke,1994,1,[]
Christian Van Enckevort,2001,2,[]
Christian Wieczerkowski,1994,8,['University of Muenster']
Christiane Schomblond,1996,4,[]
Christine Unkmeir,1996,2,"['Institute for Nuclear Physics, Mainz', 'ITP, University of Hannover']"
Christof Gattringer,1993,4,[]
Christof Schmidhuber,1992,14,['Caltech']
Christof Wetterich,1994,7,"['ITP, U Heidelberg', 'Heidelberg U.']"
Christofer Cronstrom,1998,3,[]
Christoph Adam,1997,4,[]
Christoph Kopper,1996,3,['Ecole Polytechnique']
Christoph Richard,2001,1,[]
Christoph Schweigert,1993,16,"['Paris U., VI-VII , Aachen, Tech. Hochschul.']"
Christoph Sieg,2002,2,['Humboldt University of Berlin']
Christoph Wetterich,1994,1,[]
Christophe Fraser,1996,4,[]
Christophe Grojean,2000,2,[]
Christophe Patricot,2003,1,[]
Christophe Ringeval,2003,1,[]
Christopher D. Carone,2002,1,[]
Christopher Ford,1996,1,['Jena']
Christopher Gordon,2000,2,['Portsmouth']
Christopher Hull,2001,3,[]
Christopher King,1994,1,[]
Christopher M. Hull,1996,7,[]
Christopher M. Oneill,1992,2,[]
Christopher P. Herzog,2000,12,[]
Christopher T. Hill,2000,6,[]
Christopher Ting,1992,3,[]
Christos Charmousis,1999,6,[]
Christos Epameinonda Kokorelis,1998,2,[]
Christos Kokorelis,1998,16,[]
Chryssomalis Chryssomalakos,1993,2,[]
Chuan-Jie,1995,1,[]
Chuan-Jie Zhu,1992,19,[]
Chuan-Sheng Xiong,1996,7,['Beijing']
Chuan-Tsung Chan,1999,5,['National Taiwan University']
Chuansheng Xiong,2000,1,[]
Chueng-Ryong Ji,2000,1,[]
Chul H. Lee,1994,3,[]
Chul Koo Kim,1997,5,[]
Chun-Khiang Chua,2000,1,[]
Chun-Ming Chiang,2000,2,[]
Chun-Qing Huang,2002,1,[]
Chung-Chieh Lee,2000,1,[]
Chung-I Tan,1992,9,"['Brown Un.', 'Brown University', 'Brown Univ.']"
Chung-Wen Kao,2000,1,[]
Cihan Saclioglu,1995,7,[]
Cintia G. Pinheiro,2000,1,"['UFES, Brazil']"
Ciprian Acatrinei,1999,9,[]
Cl. Gabriel,1997,5,[]
Clare Dunning,2000,8,[]
Claude Barrab`Es,1995,1,[]
Claude Gabriel,1998,1,[]
Claude Godreche,2001,1,[]
Claude Roger,1994,1,[]
Claudia Daboul,1996,1,"['Universitaet Hamburg, GERMANY']"
Claudio A. Scrucca,1997,17,[]
Claudio Coriano,1992,3,[]
Claudio Emmrich,1993,1,[]
Claudio Lucchesi,1995,1,"['University of Neuchatel, Switzerland']"
Claudio Nassif,2000,1,[]
Claudio Simeone,1995,1,[]
Claudio Teitelboim,1992,8,[]
Claus Jeschek,2003,1,[]
Claus Kiefer,1993,4,[]
Claus Montonen,1995,1,[]
Claus Nowak,1994,1,[]
Claus Zahlten,2000,1,[]
Clemens Schophaus,1996,1,"['Institut f. Theoret. Physik, Universitaet Goettingen']"
Clifford Johnson,1992,1,[]
Clifford Neves,1999,2,[]
Clifford V Johnson,1994,1,[]
Clifford V. Johnson,1992,48,[]
Clisthenis P. Constantinidis,2003,2,[]
Clovis Wotzasek,1995,18,"['UFRJ', 'University of Rochester']"
Cm Hull,1998,1,[]
Cm. Viallet,1992,1,[]
Collin Bennett,2001,1,[]
Conall Kennedy,1998,4,[]
Cong-Xin Liu,1998,1,[]
Conor Houghton,1996,10,[]
Conor J. Houghton,1999,3,[]
Conrad J. Burden,1993,2,[]
Constantin Bachas,1997,5,"['ENS, Paris']"
Constantin P. Bachas,1997,2,['Ecole Polytechnique']
Constantin Rasinariu,2000,1,[]
Corinne A. Manogue,1993,4,[]
Corneliu Sochichiu,2000,11,"['Chisinau, Inst. Appl. Phys. , Dubna, JINR']"
Cornelius Sochichiu,1995,1,[]
Cosimo Stornaiolo,1999,3,[]
Cosmas K Zachos,2001,4,[]
Cosmas Zachos,1995,13,[]
Costas Bachas,1992,1,[]
Costas Efthimiou,1993,3,[]
Costas J. Efthimiou,1998,2,[]
Costas John Efthimiou,1993,1,[]
Costas Kounnas,1993,21,"['CERN-TH,ENS, Paris', 'CERN']"
Costin Popescu,1996,5,[]
Courtney J. Mewton,2002,1,[]
Craig A. Tracy,1992,7,[]
Craig A. Tracy.,1995,1,[]
Craig D. Roberts,1993,1,[]
Cresus F. L. Godinho,1998,4,[]
Cristian Martinez,1998,7,[]
Cristiano Carpi,1998,1,[]
Cristiano Germani,2001,3,[]
Cristina Manuel,1992,2,[]
Cristobal Lara,1999,1,['Univ. de Valencia']
Cs. Koccak,1996,2,[]
Csaba Csaki,1996,31,"['UC Berkeley', 'UC, Berkeley', 'Berkeley', 'MIT']"
Ctirad Klimcik,1995,1,[]
Ctirad Klimv Ci K,1992,1,[]
Cumrun Vafa,1992,78,['Harvard University']
Curtin Callan,1994,1,[]
Curtis Callan,1992,1,[]
Curtis G. Callan,1993,10,['Princeton University']
Cyril Cartier,2000,1,[]
Cyril Furtlehner,1994,1,[]
Cyril Malyshev,2002,1,[]
D A Rasheed,1995,2,[]
D Elliott,1996,1,[]
D G C Mckeon,1993,2,[]
D Mcanally,1996,1,[]
D Mcmullan,2002,1,[]
D S Mcanally,1998,2,[]
D V Nanopoulos,1993,1,[]
D. A. Komarov,1998,1,[]
D. A. Korotkin,1995,1,[]
D. A. Kosower,1993,2,[]
D. A. Lowe,1993,11,[]
D. A. Macintire,1992,2,[]
D. A. Owen,1993,2,[]
D. A. R. Dalvit,1994,1,[]
D. A. Rasheed,1996,2,[]
D. A. Ryzhikh,2001,2,"['ITEP, Moscow, Russia']"
D. A. Sahakyan,1998,3,[]
D. A. Spector,2000,1,[]
D. A. Steer,1998,9,"['DAMPT, Cambridge']"
D. Alba,2001,3,"['Firenze Univ.', 'Univ.Firenze', 'Univ. Firenze']"
D. Alexander,1992,1,[]
D. Altschuler,1993,2,[]
D. Amati,1996,2,[]
D. Amati S. Elitzur,1993,1,[]
D. Anselmi,1993,27,[]
D. Antonov,2003,1,"['INFN, Pisa , Pisa U.']"
D. Armand Ugon,1992,1,[]
D. Arnaudon,1993,7,[]
D. Atkinson,1992,1,[]
D. B. Ali,2001,1,[]
D. B. Fairlie,1992,19,"['University of Durham', 'University of Durham, U.K.', 'Durham University']"
D. B. Mckernan,1996,1,[]
D. B. Papadopoulos,1998,3,[]
D. B. Uglov,1992,4,['SUNY Stony Brook']
D. B. Westra,2002,1,[]
D. Babusci,2001,1,[]
D. Badagnani,1999,1,[]
D. Bahns,2002,3,['1']
D. Bailin,1992,24,"['U. of Sussex', 'U. Sussex', 'Sussex', 'Sussex U.']"
D. Bak,1994,4,[]
D. Baleanu,2002,1,[]
D. Bar-Moshe,1994,2,[]
D. Bazeia,1992,24,[]
D. Bellisai,1997,3,['Rome U. Tor Vergata']
D. Berenstein,2002,1,[]
D. Bernard,1992,13,[]
D. Bernard. V. Pasquier,1995,1,[]
D. Binosi,1999,2,[]
D. Birmingham,1993,2,[]
D. Birmingham I. Sachs S. Sen,1997,1,['University College Dublin']
D. Blaschke,1995,5,[]
D. Bonatsos,1994,1,[]
D. Borthwick,1994,3,[]
D. Boulatov,1992,4,[]
D. Boyanovsky,1992,3,[]
D. Brace,2001,2,[]
D. Brecher,1998,8,[]
D. Buchholz,1994,2,[]
D. C. Brody,1997,1,[]
D. C. Brydges,2002,1,[]
D. C. Cabra,1993,12,[]
D. C. Dunbar,1993,7,[]
D. C. Latimer,2002,1,['Oxford']
D. C. Robinson,2002,1,[]
D. C. Rodrigues,2001,1,[]
D. Cabra,1994,1,[]
D. Caenepeel,1993,5,[]
D. Campo,2002,1,[]
D. Cangemi,1992,5,['UCLA']
D. Chang,1992,1,[]
D. Chruscinski,1999,5,[]
D. Colferai,1997,1,[]
D. Controzzi,1999,1,[]
D. Cremades,2002,4,[]
D. Dalmazi,1992,18,[]
D. Delepine,1997,1,[]
D. Depireux,1993,1,[]
D. Diakonov,1998,2,"['NORDITA, Pnpi Gatchina']"
D. Dudal,2002,6,[]
D. Dunbar,2000,1,[]
D. E. Berenstein,1993,1,[]
D. E. Evans,1998,3,[]
D. E. Jaramillo,1998,1,"['1,2']"
D. E. Nikonov,1993,1,[]
D. E. Pelinovsky,1998,1,[]
D. Easson,2000,1,['Brown Univ.']
D. Ebert,1994,8,"['Humboldt University, Berlin']"
D. Ellinas,1994,1,[]
D. Erdenebayar,1995,1,[]
D. Espriu,1993,4,"['3', '2']"
D. F. Litim,1995,2,[]
D. F. Marchioro,1999,2,[]
D. Fabbri,1999,4,[]
D. Finnell,1995,2,[]
D. Fioravanti,1993,5,[]
D. Fliegner,1994,3,"['Heidelberg U., ITP']"
D. Fradkin,1998,1,[]
D. Francia,2001,3,[]
D. Freed,1992,2,[]
D. Fursaev,1998,5,[]
D. G. Barci,1995,11,[]
D. G. Barcy,1995,1,[]
D. G. C. Mckeon,1992,27,"['Department of Applied Mathematics, University of Western Ontario', 'University of Western Ontario']"
D. G. Caldi,1993,2,[]
D. G. Delfrate,2002,1,[]
D. G. G. Sasaki,1998,2,[]
D. G. G. Sasaki S. P. Sorella V. E. R. Lemes,2000,1,[]
D. G. Pak,1999,10,[]
D. G. Rakityansky,1996,5,[]
D. G. Robertson,1996,1,[]
D. Galeazzi,1993,1,[]
D. Gepner,1992,3,[]
D. Gianzo,1998,1,[]
D. Giuliano,2000,1,[]
D. Gomez-Ullate,2000,4,[]
D. Grumiller,2001,5,[]
D. Gurevich,1994,1,[]
D. H. Correa,2000,7,[]
D. H. Phong,1993,26,['Columbia University']
D. H. T. Franco,1996,6,['UCP-GFT']
D. H. Tchrakian,1995,30,"['2', 'NUI Maynooth, Ireland', '1', 'NUIM , DIAS, Ireland', 'U. Maynooth']"
D. Han,1996,3,[]
D. Hasler,1999,3,[]
D. I. Kazakov,1993,6,"['JINR, Dubna , ITEP, Moscow']"
D. I. Meiron,2000,1,[]
D. I. Olive,1993,6,[]
D. Ida,2001,2,[]
D. Iellici,1998,1,[]
D. Ivanov,1994,2,[]
D. J. Broadhurst,1996,17,[]
D. J. Gross,1993,2,[]
D. J. Lamb,1994,5,[]
D. J. Lee,1998,2,[]
D. J. Navarro,1994,9,[]
D. J. Schwarz,1992,1,[]
D. J. Smith,1997,1,[]
D. J. Toms,1993,9,[]
D. Jancic,1993,3,['1']
D. Johnston,1993,3,[]
D. Jungnickel,1992,2,[]
D. Juriev,1994,4,"[""D.V.Yur'ev"", ""Yur'ev; Mathematical Division, Research Institute for System Studies of Russian Academy of Sciences, Moscow, Russia""]"
D. K. Hong,1993,3,"['Pusan University', 'Pusan']"
D. K. Park,1994,49,"['Kyungnam University', 'Kyungnam U.']"
D. Kabat,1994,3,[]
D. Kamani,1999,2,[]
D. Kapetanakis,1994,1,[]
D. Karabali,1998,3,[]
D. Karakhanyan,1997,3,[]
D. Karczewska,1996,3,[]
D. Kastor,1993,1,[]
D. Kazhdan,2001,1,[]
D. Klemm,2000,11,[]
D. Korotkin,1994,6,[]
D. Kreimer,1993,11,"['Erwin Schr\\""odinger Institute, Vienna']"
D. Krob,1994,2,[]
D. Kutasov,1992,22,[]
D. L. Bennett,1997,1,['1']
D. L. Henty,2001,1,[]
D. L. Wiltshire,1992,3,[]
D. Lebedev,1994,6,[]
D. Lenis,1994,2,[]
D. Levkov,2003,1,[]
D. Li,1993,1,[]
D. Litim,1995,1,[]
D. Louis Martinez,1993,2,[]
D. Luest,1992,5,[]
D. Lust,1993,16,[]
D. M. Belov,1999,12,[]
D. M. Bradley,1996,1,[]
D. M. E. Mcarthur,2002,1,[]
D. M. Ghilencea,2001,3,[]
D. M. Gitman,1992,47,"['U. of Sao Paulo', 'IF, Univ. Sao Paulo', 'Instituto de Fisica, Universidade de S\\~ao Paulo', 'University of Sao Paulo, Brasil']"
D. M. Mcavity,1993,1,[]
D. M. Medeiros,2000,3,[]
D. M. Mladenov,1997,6,[]
D. Maison,1996,1,[]
D. Mamone,2002,4,[]
D. Marolf,1994,1,[]
D. Matalliotakis,1997,1,[]
D. Mateos,2001,1,[]
D. Mauro,1999,3,[]
D. Maxera,1998,1,[]
D. Mc Neill,1996,2,[]
D. Mcmullan,1995,2,[]
D. Melnikov,2002,1,[]
D. Minic,1993,25,"['USC', 'Penn State']"
D. Morrison,1996,1,[]
D. Mouhanna,1998,3,[]
D. Mulsch,1997,9,['Wissenschaftszentrum e.V.']
D. N. Nishnianidze,1994,3,"['St.Petersburg,Kutaisi', '2,3']"
D. N. Page,1998,2,[]
D. Nanopoulos,1992,4,[]
D. Nemeschansky,1992,12,[]
D. Nogradi,1999,3,[]
D. Nolte,2001,1,[]
D. Nowak-Szczepaniak,2000,1,['Wroclaw Univ.']
D. Okeeffe,1998,1,[]
D. Papadopoulos,1997,1,[]
D. Polyakov,1999,1,[]
D. Popovic,1997,1,[]
D. Prange,1999,1,[]
D. Proskurin,2001,2,[]
D. R. Bes,1994,2,[]
D. R. D. Scott,1994,1,[]
D. R. Davidson,1994,3,[]
D. R. Grigore,1993,6,[]
D. R. Karakhanyan,1994,5,[]
D. R. Lamm,2000,1,[]
D. R. Morrison,1993,7,[]
D. R. Phillips,1998,1,[]
D. R. T. Jones,1993,7,[]
D. Reynaud,2000,4,['Montpellier U.']
D. Ridout,2002,1,[]
D. Robaschik,1999,1,[]
D. Rodney Truax,1993,2,[]
D. Roest,2001,6,[]
D. Roggenkamp,2000,1,[]
D. Rohrlich,1993,2,[]
D. S. Berman,1996,12,[]
D. S. Freed,2000,1,[]
D. S. Gorbunov,1999,3,[]
D. S. Popovic,1998,2,[]
D. S. Soh,1993,2,[]
D. Sanchez-Ruiz,1999,4,"['Departamento de Fisica Teorica I, Universidad Complutense de Madrid, Spain', 'Universidad Complutense de Madrid']"
D. Schutte,1995,1,[]
D. Seminara,1992,27,"['MIT', 'Florence U.']"
D. Senechal,1992,2,[]
D. Serban,1993,7,[]
D. Singleton,1998,9,[]
D. Sorokin,1993,6,[]
D. Steinbacher,2002,1,[]
D. Sternheimer,1994,1,[]
D. Stevenson,2001,1,['1']
D. Stockinger,2001,1,[]
D. Stoll,1995,1,[]
D. Svrtan,1996,1,[]
D. T. Barclay,1993,1,[]
D. T. Son,2001,6,['INT']
D. Talalaev,2001,3,"['ITEP, Moscow']"
D. Toledo,1997,1,[]
D. Tomino,2003,1,[]
D. Tong,1997,3,[]
D. Toublan,1998,7,[]
D. Ts. Stoyanov,1996,3,[]
D. Tsimpis,2001,2,[]
D. Turaev,2001,1,"['WIAAS, Berlin']"
D. Tz. Stoyanov,1994,1,[]
D. U. Matrasulov,1995,1,[]
D. Uglov,1994,2,[]
D. Ursescu,2002,1,[]
D. V. Ahluwalia,1993,11,"['LAMPF, Los Alamos National Laboratory', 'Los Alamos National Laboratory']"
D. V. Aleynikov,2002,1,[]
D. V. Antonov,1996,20,"['Humboldt University, Berlin,ITEP, Moscow', 'ITEP, Moscow', 'ITEP, Moscow,Humboldt University, Berlin']"
D. V. Boulatov,1992,10,[]
D. V. Fursaev,1993,17,[]
D. V. Galtsov,1992,22,['Moscow State University']
D. V. Gluschenkov,1993,1,[]
D. V. Leykin,1993,1,[]
D. V. Long,1996,1,[]
D. V. Meshcheryakov,2001,2,[]
D. V. Nanopoulos,1992,34,"['CERN, Oxford, Texas A,M, HARC,Academy of Athens', 'Texas A,M, HARC, Academy of Athens', 'Texas A,M, HARC,Academy of Athens', 'Texas A,M, HARC, Athens Academy']"
D. V. Naumov,1997,2,[]
D. V. Nesterov,2000,3,[]
D. V. Shirkov,1996,6,"['JINR, Dubna']"
D. V. Soroka,2001,2,[]
D. V. Uvarov,1999,3,[]
D. V. Vassilevich,1994,25,"['St. Petersburg University', 'St.Petersburg']"
D. V. Volkov,1994,1,[]
D. Vaman,2001,1,[]
D. Varga,1999,1,[]
D. Vasiliev,2003,1,[]
D. Vassilevich,1998,5,[]
D. Vautherin,1996,2,[]
D. Volkov,1995,2,[]
D. Waldram,1993,2,[]
D. Wesolowski,1993,2,[]
D. Winder,2000,1,[]
D. Witt,1999,1,[]
D. Wyler,1995,2,[]
D. Yetter,1994,1,[]
D. Yu. Grigoriev,2002,2,[]
D. Z Freedman,2000,1,['MIT']
D. Z. Freedman,1992,13,[]
D. Zagier,1999,1,"['MPIM, Bonn']"
D. Zanon,1992,26,[]
D. Zanon.,1995,1,[]
D. Zappal`A,2000,1,[]
D. Zappala,1997,6,['2']
D. Zoller,1995,1,[]
D. Zwanziger,1994,3,"['New York University', 'New York U.']"
D.-S. Lee,1992,4,[]
D.-U. Jungnickel,1993,1,[]
D.~V.~Vassilevich,1995,1,[]
Da-Hua Zhang,2002,1,[]
Dae Kil Park,2001,2,"['Kyungnam , Michigan Uni.']"
Dae Kwan Kim,1996,3,['Seoul National University']
Dae Sung Hwang,1995,3,[]
Dae Yup Song,1994,1,[]
Dae-Yup Song,1994,3,"[""Sunchon Nat'l Univ""]"
Dagny Kimberly,2001,1,[]
Dagny M. Kimberly,2002,1,[]
Dahl Park,1995,11,[]
Daiji Ennyu,1997,3,[]
Daisuke Ida,2001,8,"['RESCEU, U.Tokyo']"
Daisuke Yamada,2003,1,[]
Dal-Ho Yoon,1999,1,[]
Dalia S. Goldwirth,1993,1,[]
Dallas C. Kennedy,1997,1,['2']
Damiano Anselmi,1992,14,['Harvard University']
Damien A. Easson,1999,9,['McGill U.']
Dan Christensen,1992,1,[]
Dan Gluck,2003,1,[]
Dan Kabat,1992,1,[]
Dan N. Vollick,1999,5,[]
Dan Radu Grigore,1993,20,[]
Dan Tomino,2000,2,[]
Dan Waldram,2000,1,['CERN']
Dan-Tao Peng,2001,4,[]
Dana Stanley Fine,1995,1,[]
Dang Van Soa,1994,1,[]
Dani`Ele Steer,2002,1,[]
Daniel A. T. Vanzella,2003,1,[]
Daniel Altschuler,1992,1,[]
Daniel Armand-Ugon,1993,3,[]
Daniel Arnaudon,1992,5,[]
Daniel B. Grunberg,2003,1,[]
Daniel Boyanovsky,1993,1,[]
Daniel Brace,1998,6,[]
Daniel C. Cabra,1992,3,['1']
Daniel Cabra,1995,1,['Universidad de La Plata']
Daniel Cangemi,1992,13,"['MIT', 'UCLA']"
Daniel Domert,2002,1,[]
Daniel F. Litim,1996,17,['U. Barcelona']
Daniel Freedman,1997,1,[]
Daniel Friedan,2002,2,[]
Daniel Gottesman,1994,2,[]
Daniel H. T. Franco,1997,6,['SISSA-Trieste']
Daniel Hernandez Ruiperez,2001,1,[]
Daniel I. Fivel,1994,5,[]
Daniel Iagolnitzer,1998,1,[]
Daniel Kabat,1992,16,"['Institute for Advanced Study', 'Columbia University', 'IAS']"
Daniel Kastler,1994,6,[]
Daniel Lee,2000,1,['Bell Labs']
Daniel M. Sforza,1996,1,[]
Daniel Marti,2001,1,[]
Daniel R. Bes,1996,1,[]
Daniel R. Phillips,1997,1,[]
Daniel R. Terno,2003,1,[]
Daniel Robbins,2003,1,[]
Daniel Roggenkamp,2003,1,[]
Daniel S. Freed,1992,9,[]
Daniel Sternheimer,1994,3,[]
Daniel Waldram,1992,45,"['CERN', 'Princeton University', 'Princeton University,CERN']"
Daniel Z. Freedman,1992,27,[]
Daniel Zwanziger,1996,11,['New York University']
Daniela Bigatti,1997,8,"['K.U. Leuven', 'Weizmann Institute of Science, Israel']"
Daniela Garajeu,1994,1,[]
Daniela Zanon,1992,24,['U. of Milano']
Daniele A. Steer,2000,2,[]
Daniele Amati,1997,1,['SISSA']
Daniele Binosi,1999,2,[]
Daniele Guido,1995,3,"['U. Roma ""Tor Vergata""', 'U. Roma Tor Vergata']"
Daniele Perini,2002,2,[]
Daniele Tommasini,2001,2,[]
Danijel Jurman,2003,1,[]
Danny Birmingham,1993,19,[]
Danny Marfatia,2000,1,[]
Danny Stevenson,2002,1,[]
Dao Vong Duc,1994,1,[]
Dao-Jun Liu,2002,2,[]
Dao-Neng Gao,1995,1,['USTC']
Dapeng Xu,1994,1,[]
Dardo D. Piriz,1995,1,['University of California']
Dario Benedetti,2002,1,[]
Dario Martelli,1998,14,[]
Dario Zappala,1997,1,[]
Darius G. Gagne,1995,2,[]
Darius Gagne,1995,1,[]
Darius Sadri,2003,1,[]
Dariusz Chruscinski,1997,5,[]
Darrell R. Lamm,2001,1,[]
Darren T. Grasso,2002,1,[]
Darwin Chang,1995,1,[]
Dave J. Clements,2003,1,[]
David A. Kastor,1993,2,[]
David A. Lowe,1992,38,[]
David A. Sahakyan,2001,2,[]
David Alba,1997,4,"[""Universita' di Firenze"", 'Florence University']"
David B. Fairlie,1992,6,['University of Durham']
David B. Kaplan,1995,4,[]
David Bailin,2002,1,[]
David Beckman,2001,1,[]
David Berenstein,1996,26,[]
David Brown,1997,1,[]
David Brungs,1998,1,[]
David C. Dunbar,1992,6,[]
David C. Lewellen,1992,1,[]
David C. Page,2000,4,[]
David D. Song,1998,2,[]
David Delphenich,1997,1,['Syracuse U.']
David Dudal,2002,2,[]
David E. Crooks,2002,3,[]
David E. Radford,1994,1,['UI Chicago']
David Eichler,2000,1,[]
David Eliezer,1992,3,[]
David Fairlie,1997,4,[]
David Finkelstein,1994,4,[]
David G. Boulware,1992,1,[]
David G. Robertson,1993,8,"['OSU', 'Ohio State']"
David Gershon,1992,4,[]
